Area_SqFt,Bedrooms,Price
2271.0,1,381000.0
2265.0,2,454000.0
2101.0,4,389000.0
1404.0,4,314000.0
2035.0,4,385000.0
1642.0,4,329000.0
2938.0,4,535000.0
2668.0,2,448000.0
2388.0,2,418000.0
1319.0,3,276000.0
1363.0,4,282000.0
889.0,2,191000.0
2363.0,3,451000.0
1044.0,4,262000.0
1767.0,1,318000.0
1244.0,3,265000.0
2771.0,2,504000.0
1846.0,1,315000.0
2039.0,1,371000.0
2330.0,1,439000.0
1107.0,3,275000.0
2130.0,2,360000.0
1988.0,1,347000.0
1247.0,4,280000.0
2874.0,1,471000.0
2118.0,1,368000.0
2329.0,3,427000.0
2737.0,3,512000.0
2174.0,2,395000.0
1450.0,4,311000.0
